09/19/16 13:29:32:369 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | AdobeUpdaterGoCartLauncher : inside initialize.
09/19/16 13:29:32:371 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
09/19/16 13:29:32:377 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
09/19/16 13:29:33:377 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
09/19/16 13:29:33:377 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
09/19/16 13:30:03:453 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
09/19/16 13:30:03:453 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | AdobeUpdaterGoCartLauncher : inside finalize.
09/19/16 13:30:03:453 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | AdobeUpdaterGoCartLauncher : unloaded goCart library
09/19/16 13:34:09:894 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | >>> Adobe Updater Log Begin >>>
09/19/16 13:34:09:895 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | Application Version: 9.0.0.24
09/19/16 13:34:09:895 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | cmdline option: -logFile = /Volumes/Storage/cache/library.fbellott/Application Support/Adobe/AAMUpdater/1.0/aamul.log
09/19/16 13:34:09:897 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | cmdline option: -logLevel = 2
09/19/16 13:34:09:897 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | StartupUtility : Loaded at startup/logon.
09/19/16 13:34:09:897 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
09/19/16 13:34:09:897 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | StartupUtility : WARNING - Updater is NOT enabled.
09/19/16 13:34:09:897 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | Updater has never been run on the machine.
09/19/16 13:34:09:897 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | StartupUtility : Window is NOT Elapsed.
09/19/16 13:34:09:897 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | AdobeUpdaterGoCartLauncher : inside initialize.
09/19/16 13:34:09:903 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
